N,Time
13741,0.109100
13751,0.108665
13761,0.109024
13771,0.109323
13781,0.109086
13791,0.109600
13801,0.109365
13811,0.112183
13821,0.108743
13831,0.109409
13841,0.109455
13851,0.109633
13861,0.110906
13871,0.109399
13881,0.109300
13891,0.110351
13901,0.111071
13911,0.110216
13921,0.110232
13931,0.110819
13941,0.110740
13951,0.110584
13961,0.111176
13971,0.110018
13981,0.110539
13991,0.110272
14001,0.111191
14011,0.110570
14021,0.110187
14031,0.110890
14041,0.110964
14051,0.111349
14061,0.111379
14071,0.110413
14081,0.111481
14091,0.112179
14101,0.111985
14111,0.111329
14121,0.111666
14131,0.112357
14141,0.111364
14151,0.110962
14161,0.111606
14171,0.112421
14181,0.112014
14191,0.112447
14201,0.112724
14211,0.112724
14221,0.113170
14231,0.113490
14241,0.115704
14251,0.115880
14261,0.116061
14271,0.113427
14281,0.112746
14291,0.116612
14301,0.115739
14311,0.117667
14321,0.117059
14331,0.114365
14341,0.115810
14351,0.114882
14361,0.114597
14371,0.116930
14381,0.116953
14391,0.114699
14401,0.115435
14411,0.116279
14421,0.114904
14431,0.115462
14441,0.115833
14451,0.121324
14461,0.116543
14471,0.114625
14481,0.115317
14491,0.117581
14501,0.115129
14511,0.114111
14521,0.115003
14531,0.119687
14541,0.119680
14551,0.116973
14561,0.118857
14571,0.117885
14581,0.117573
14591,0.118137
14601,0.119249
14611,0.117584
14621,0.115109
14631,0.119995
14641,0.121067
14651,0.117001
14661,0.118217
14671,0.120525
14681,0.121315
14691,0.118808
14701,0.121364
14711,0.118985
14721,0.118881
14731,0.117794
14741,0.121562
14751,0.119506
14761,0.120943
14771,0.118691
14781,0.117405
14791,0.118946
14801,0.116769
14811,0.117337
14821,0.117315
14831,0.117686
14841,0.117430
14851,0.119844
14861,0.117191
14871,0.118951
14881,0.117285
14891,0.121028
14901,0.120051
14911,0.120320
14921,0.122101
14931,0.118166
14941,0.121880
14951,0.119253
14961,0.119782
14971,0.120965
14981,0.123040
14991,0.120909
15001,0.121915
15011,0.120160
15021,0.122674
15031,0.121898
15041,0.122593
15051,0.122836
15061,0.119673
15071,0.118952
15081,0.119346
15091,0.124016
15101,0.124466
15111,0.122149
15121,0.120331
15131,0.119541
15141,0.120096
15151,0.122320
15161,0.122374
15171,0.123311
15181,0.122608
15191,0.120212
15201,0.123109
15211,0.122745
15221,0.122582
15231,0.126114
15241,0.123486
15251,0.121559
15261,0.122292
15271,0.126938
15281,0.124968
15291,0.123485
15301,0.121650
15311,0.124372
15321,0.121459
15331,0.121313
15341,0.121817
15351,0.124378
15361,0.126990
15371,0.123629
15381,0.125366
15391,0.122032
15401,0.123387
15411,0.127845
15421,0.128923
15431,0.127279
15441,0.122317
15451,0.127498
15461,0.126961
15471,0.124552
15481,0.128027
15491,0.126696
15501,0.126449
15511,0.124467
15521,0.124919
15531,0.126634
15541,0.124989
15551,0.123789
15561,0.123278
15571,0.127101
15581,0.128333
15591,0.126254
15601,0.126725
15611,0.127899
15621,0.123897
15631,0.127104
15641,0.126556
15651,0.129678
15661,0.127609
15671,0.127877
15681,0.123489
15691,0.125350
15701,0.124797
15711,0.128340
15721,0.127130
15731,0.128551
15741,0.126192
15751,0.127869
15761,0.125865
15771,0.129438
15781,0.131960
15791,0.127775
15801,0.131208
15811,0.130937
15821,0.125376
15831,0.127578
15841,0.126159
15851,0.129704
15861,0.127997
15871,0.127293
15881,0.127044
15891,0.128985
15901,0.126260
15911,0.130414
15921,0.126429
15931,0.129893
15941,0.126599
15951,0.129513
